title,n_human_reviews,baseline_jacc_mean,baseline_jacc_max,trained_jacc_mean,trained_jacc_max,baseline_sbert_mean,baseline_sbert_max,trained_sbert_mean,trained_sbert_max
$ell_1$ Adversarial Robustness Certificates: a Randomized Smoothing Approach | OpenReview,3,0.12564034186683523,0.14285714285714285,0.1749036255562272,0.18274111675126903,0.5089991887410482,0.6538286209106445,0.5611900488535563,0.646867573261261
``*Best-of-Many-Samples* Distribution Matching | OpenReview,3,0.09391319083279297,0.1016949152542373,0.10494367000450093,0.1099476439790576,0.587747057278951,0.59630286693573,0.509669711192449,0.5453470945358276
A Base Model Selection Methodology for Efficient Fine-Tuning | OpenReview,3,0.12220125735423143,0.13138686131386862,0.16968818184328996,0.174496644295302,0.6852956016858419,0.8296340703964233,0.6411137382189432,0.6750149726867676
A Baseline for Few-Shot Image Classification | OpenReview,3,0.1739021611600516,0.19672131147540983,0.18925694713296337,0.19791666666666666,0.7203671137491862,0.7464311122894287,0.7006824215253195,0.8114787340164185
A Bayes-Optimal View on Adversarial Examples | OpenReview,3,0.1473067780814459,0.1717557251908397,0.14955900523035193,0.17843866171003717,0.7322070399920145,0.7747167944908142,0.666891892751058,0.7005041241645813
A bi-diffusion based layer-wise sampling method for deep learning in large graphs | OpenReview,3,0.12603949087064167,0.12992125984251968,0.14627394394335716,0.16355140186915887,0.6220835645993551,0.6666820645332336,0.5466785828272501,0.5736889839172363
A Bilingual Generative Transformer for Semantic Sentence Embedding | OpenReview,3,0.11101127509031018,0.12840466926070038,0.1589987165434736,0.17647058823529413,0.673382302125295,0.77789705991745,0.6828974286715189,0.7738473415374756
A Boolean Task Algebra for Reinforcement Learning | OpenReview,3,0.14256705892640878,0.156794425087108,0.17008120505233323,0.19081272084805653,0.6109693646430969,0.6723648309707642,0.5898899833361307,0.5999207496643066
A Causal View on Robustness of Neural Networks | OpenReview,3,0.10905581246788594,0.12169312169312169,0.1165374677002584,0.12222222222222222,0.5820538997650146,0.6221404075622559,0.3659558991591136,0.40237945318222046
A Closer Look at Deep Policy Gradients | OpenReview,3,0.12436771900186534,0.15584415584415584,0.1133453762416214,0.12135922330097088,0.57497638463974,0.642330527305603,0.548881471157074,0.5898975133895874
A closer look at network resolution for efficient network design | OpenReview,3,0.11710500819714405,0.127208480565371,0.1693362439098691,0.1907514450867052,0.5116743544737498,0.5807884335517883,0.6207474668820699,0.6346514821052551
A closer look at the approximation capabilities of neural networks | OpenReview,4,0.12987972960573396,0.13901345291479822,0.12680291914437716,0.12941176470588237,0.7527170926332474,0.8351081609725952,0.560598686337471,0.6106449365615845
A Closer Look at the Optimization Landscapes of Generative Adversarial Networks | OpenReview,3,0.12471185014281233,0.12631578947368421,0.12298220749123023,0.12749003984063745,0.6828802824020386,0.7528657913208008,0.7026273210843405,0.7549095153808594
A Constructive Prediction of the Generalization Error Across Scales | OpenReview,3,0.11476414438805331,0.13253012048192772,0.15921071659199312,0.20422535211267606,0.5935676097869873,0.6226967573165894,0.610666294892629,0.6561247110366821
A Coordinate-Free Construction of Scalable Natural Gradient | OpenReview,3,0.13827204187157552,0.17123287671232876,0.1342030974325139,0.15827338129496402,0.6203443805376688,0.7286341190338135,0.5400467415650686,0.5890451073646545
A Copula approach for hyperparameter transfer learning | OpenReview,3,0.127480003298425,0.15,0.1554312545942918,0.17307692307692307,0.5669149955113729,0.7936804294586182,0.510397215684255,0.6938346028327942
"A critical analysis of self-supervision, or what we can learn from a single image | OpenReview",3,0.1307524439018156,0.14076246334310852,0.1220337509065655,0.13712374581939799,0.7107293009757996,0.7260273694992065,0.7067144711812338,0.75091153383255
A Data-Efficient Mutual Information Neural Estimator for Statistical Dependency Testing | OpenReview,3,0.13546185794776508,0.14919354838709678,0.1276331671565038,0.15789473684210525,0.4526030321915944,0.5372918844223022,0.5543593168258667,0.64962238073349
A Deep Recurrent Neural Network via Unfolding Reweighted l1-l1 Minimization | OpenReview,3,0.17864770256622334,0.20853080568720378,0.152797988450422,0.17258883248730963,0.6436596314112345,0.6470460891723633,0.5908039609591166,0.6064735054969788
A Dynamic Approach to Accelerate Deep Learning Training | OpenReview,3,0.15236747590470998,0.17553191489361702,0.1534952317032148,0.16556291390728478,0.6428342660268148,0.7081924676895142,0.5269958972930908,0.5454261302947998
A Fair Comparison of Graph Neural Networks for Graph Classification | OpenReview,3,0.10807604375964303,0.1360759493670886,0.1560878934232061,0.19242902208201892,0.35776271919409436,0.4378962814807892,0.5592413942019144,0.7235186100006104
A Fine-Grained Spectral Perspective on Neural Networks | OpenReview,3,0.1286783384846544,0.1339031339031339,0.1338641469538787,0.15579710144927536,0.6504306793212891,0.6846597790718079,0.576727290948232,0.6205837726593018
A Finite-Time Analysis of Q-Learning with Neural Network Function Approximation | OpenReview,3,0.12448459597334931,0.135,0.17055444746370516,0.19902912621359223,0.6476295391718546,0.7007830142974854,0.5216423869132996,0.5460851788520813
A FRAMEWORK FOR ROBUSTNESS CERTIFICATION OF SMOOTHED CLASSIFIERS USING F-DIVERGENCES | OpenReview,3,0.13135341175328064,0.15432098765432098,0.11862685836823395,0.12280701754385964,0.5887750486532847,0.6920217275619507,0.5478291114171346,0.72205650806427
A Function Space View of Bounded Norm Infinite Width ReLU Nets: The Multivariate Case | OpenReview,3,0.13913571154950466,0.15135135135135136,0.17864935953112704,0.20279720279720279,0.5693637927373251,0.5928888320922852,0.6629812916119894,0.6838366985321045
A Functional Characterization of Randomly Initialized Gradient Descent in Deep ReLU Networks | OpenReview,3,0.12110255313079447,0.13937282229965156,0.15712046229048476,0.16091954022988506,0.6647120714187622,0.7782759666442871,0.5981953144073486,0.6535978317260742
